Airline,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Month_of_Journey,Day_of_Journey,Duration_min
IndiGo,Banglore,New Delhi,22,1,0.0,No Info,3897,March,Sunday,170
Air India,Kolkata,Banglore,5,13,2.0,No Info,7662,May,Wednesday,445
Jet Airways,Delhi,Cochin,9,4,2.0,No Info,13882,June,Sunday,420
IndiGo,Kolkata,Banglore,18,23,1.0,No Info,6218,May,Sunday,325
IndiGo,Banglore,New Delhi,16,21,1.0,No Info,13302,March,Friday,285
SpiceJet,Kolkata,Banglore,9,11,0.0,No Info,3873,June,Monday,145
Jet Airways,Banglore,New Delhi,18,10,1.0,In-flight meal not included,11087,March,Tuesday,210
Jet Airways,Banglore,New Delhi,8,5,1.0,No Info,22270,March,Friday,545
Jet Airways,Banglore,New Delhi,8,10,1.0,In-flight meal not included,11087,March,Tuesday,810
Multiple carriers,Delhi,Cochin,11,19,1.0,No Info,8625,May,Monday,470
Air India,Delhi,Cochin,9,23,1.0,No Info,8907,June,Saturday,75
IndiGo,Kolkata,Banglore,20,22,0.0,No Info,4174,April,Thursday,155
Air India,Chennai,Kolkata,11,13,0.0,No Info,4667,June,Monday,135
Jet Airways,Kolkata,Banglore,21,9,1.0,In-flight meal not included,9663,May,Thursday,730
IndiGo,Kolkata,Banglore,17,19,0.0,No Info,4804,April,Wednesday,155
Air India,Delhi,Cochin,16,19,2.0,No Info,14011,March,Sunday,875
SpiceJet,Delhi,Cochin,8,13,1.0,No Info,5830,April,Monday,270
Jet Airways,Delhi,Cochin,14,12,1.0,In-flight meal not included,10262,June,Wednesday,635
Air India,Delhi,Cochin,20,19,2.0,No Info,13381,June,Wednesday,660
Jet Airways,Delhi,Cochin,16,12,1.0,In-flight meal not included,12898,May,Monday,515
GoAir,Delhi,Cochin,14,19,1.0,No Info,19495,March,Wednesday,310
Air India,Banglore,New Delhi,22,13,1.0,No Info,6955,March,Thursday,200
IndiGo,Banglore,Delhi,4,6,0.0,No Info,3943,April,Wednesday,170
IndiGo,Banglore,Delhi,18,21,0.0,No Info,4823,May,Wednesday,175
Jet Airways,Kolkata,Banglore,18,8,1.0,In-flight meal not included,7757,May,Monday,80
Jet Airways,Delhi,Cochin,21,12,2.0,No Info,13292,June,Sunday,190
IndiGo,Delhi,Cochin,21,3,1.0,No Info,8238,June,Saturday,345
GoAir,Delhi,Cochin,7,12,1.0,No Info,7682,May,Wednesday,355
Vistara,Banglore,Delhi,9,12,0.0,No Info,4668,June,Tuesday,170
Vistara,Chennai,Kolkata,7,9,0.0,No Info,3687,June,Saturday,135
Vistara,Chennai,Kolkata,7,9,0.0,No Info,3687,June,Tuesday,135
Air India,Kolkata,Banglore,9,23,2.0,No Info,13227,May,Wednesday,85
IndiGo,Banglore,Delhi,4,6,0.0,No Info,4423,April,Saturday,170
Jet Airways,Delhi,Cochin,14,12,2.0,In-flight meal not included,10919,June,Saturday,600
Jet Airways,Delhi,Cochin,7,12,1.0,In-flight meal not included,12373,May,Saturday,330
IndiGo,Delhi,Cochin,10,21,1.0,No Info,5894,June,Thursday,625
SpiceJet,Kolkata,Banglore,15,20,1.0,No Info,4649,May,Tuesday,315
Air India,Kolkata,Banglore,14,16,0.0,No Info,6245,May,Saturday,150
Jet Airways,Banglore,New Delhi,7,13,1.0,No Info,19225,March,Wednesday,375
Jet Airways,Delhi,Cochin,7,19,1.0,No Info,14924,June,Monday,715
Multiple carriers,Delhi,Cochin,7,18,1.0,No Info,9646,May,Tuesday,665
Air India,Banglore,New Delhi,6,15,1.0,No Info,8714,March,Friday,510
Jet Airways,Delhi,Cochin,20,19,1.0,In-flight meal not included,12373,May,Saturday,605
Air Asia,Banglore,Delhi,11,13,0.0,No Info,3383,May,Monday,165
Multiple carriers,Delhi,Cochin,9,21,1.0,No Info,13062,March,Thursday,720
SpiceJet,Banglore,New Delhi,5,8,0.0,In-flight meal not included,3527,March,Sunday,170
IndiGo,Banglore,Delhi,4,6,0.0,No Info,3943,May,Monday,170
Air India,Chennai,Kolkata,11,13,0.0,No Info,4667,May,Friday,135
Air India,Kolkata,Banglore,19,11,1.0,No Info,6117,May,Wednesday,245
Jet Airways,Delhi,Cochin,23,19,2.0,In-flight meal not included,11150,June,Thursday,475
Jet Airways,Delhi,Cochin,11,14,0.0,In-flight meal not included,7202,March,Saturday,195
Jet Airways,Kolkata,Banglore,9,10,1.0,No Info,12121,May,Wednesday,800
IndiGo,Banglore,New Delhi,22,1,0.0,No Info,4377,March,Sunday,170
IndiGo,Banglore,Delhi,21,0,0.0,No Info,3943,June,Tuesday,180
Air Asia,Banglore,Delhi,23,2,0.0,No Info,4483,April,Wednesday,170
Jet Airways,Kolkata,Banglore,19,12,1.0,No Info,14231,March,Sunday,255
Air India,Banglore,New Delhi,8,23,2.0,No Info,17345,March,Friday,185
Vistara,Chennai,Kolkata,7,9,0.0,No Info,7414,March,Wednesday,135
Multiple carriers,Delhi,Cochin,19,1,1.0,No Info,8073,May,Monday,390
Vistara,Mumbai,Hyderabad,15,16,1.0,No Info,12395,March,Wednesday,785
Air India,Kolkata,Banglore,9,21,1.0,No Info,8366,June,Thursday,745
Air India,Delhi,Cochin,6,9,1.0,No Info,5117,April,Wednesday,920
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,12524,June,Monday,615
IndiGo,Delhi,Cochin,15,1,1.0,No Info,7191,May,Wednesday,630
Vistara,Chennai,Kolkata,7,9,0.0,No Info,3687,May,Friday,135
IndiGo,Delhi,Cochin,10,21,1.0,No Info,5894,June,Monday,625
Vistara,Banglore,Delhi,9,12,0.0,No Info,5403,April,Wednesday,170
Air India,Mumbai,Hyderabad,13,15,0.0,No Info,3625,May,Monday,90
Air India,Delhi,Cochin,5,19,2.0,No Info,10861,May,Tuesday,80
IndiGo,Chennai,Kolkata,13,15,0.0,No Info,6297,March,Tuesday,135
Jet Airways,Mumbai,Hyderabad,7,8,0.0,No Info,5678,June,Saturday,85
Jet Airways,Banglore,New Delhi,5,8,1.0,In-flight meal not included,9134,March,Saturday,870
Multiple carriers,Delhi,Cochin,11,19,1.0,In-flight meal not included,10791,June,Monday,440
Jet Airways,Delhi,Cochin,23,12,2.0,No Info,12819,June,Monday,90
IndiGo,Delhi,Cochin,5,10,1.0,No Info,6893,March,Thursday,300
Vistara,Banglore,New Delhi,9,12,0.0,No Info,7240,March,Saturday,165
GoAir,Banglore,Delhi,11,14,0.0,No Info,3898,April,Wednesday,170
IndiGo,Mumbai,Hyderabad,6,7,0.0,No Info,4049,April,Wednesday,90
Jet Airways,Delhi,Cochin,17,12,1.0,In-flight meal not included,10262,June,Saturday,425
SpiceJet,Chennai,Kolkata,8,10,0.0,In-flight meal not included,3332,March,Thursday,135
Jet Airways,Kolkata,Banglore,21,12,1.0,In-flight meal not included,10844,June,Sunday,170
Jet Airways,Banglore,New Delhi,19,22,0.0,No Info,7229,March,Sunday,160
Jet Airways,Kolkata,Banglore,6,4,1.0,No Info,13941,May,Monday,610
IndiGo,Delhi,Cochin,11,21,1.0,No Info,5894,June,Thursday,575
Multiple carriers,Delhi,Cochin,9,19,1.0,No Info,10197,May,Saturday,600
Jet Airways,Banglore,New Delhi,14,11,1.0,In-flight meal not included,13712,March,Wednesday,560
IndiGo,Delhi,Cochin,2,7,1.0,No Info,5636,June,Monday,325
Jet Airways,Delhi,Cochin,9,4,2.0,No Info,13014,June,Thursday,405
Jet Airways,Kolkata,Banglore,8,20,1.0,In-flight meal not included,7064,April,Monday,740
Jet Airways,Kolkata,Banglore,20,14,1.0,In-flight meal not included,10703,May,Friday,360
Multiple carriers,Delhi,Cochin,13,22,1.0,No Info,9646,May,Monday,555
Multiple carriers,Delhi,Cochin,2,13,1.0,No Info,17057,March,Wednesday,665
Jet Airways,Banglore,New Delhi,16,10,1.0,No Info,13817,March,Tuesday,330
Air India,Delhi,Cochin,5,19,2.0,No Info,13748,March,Wednesday,80
Air India,Kolkata,Banglore,20,23,0.0,No Info,4880,April,Sunday,155
IndiGo,Chennai,Kolkata,5,7,0.0,No Info,3540,June,Friday,145
SpiceJet,Banglore,Delhi,5,8,0.0,In-flight meal not included,3257,May,Wednesday,160
Jet Airways,Banglore,Delhi,19,22,0.0,In-flight meal not included,6478,June,Monday,180
Jet Airways,Mumbai,Hyderabad,7,8,0.0,No Info,8040,June,Tuesday,85
Jet Airways,Delhi,Cochin,20,12,2.0,No Info,14300,June,Wednesday,275
Jet Airways,Kolkata,Banglore,8,20,1.0,No Info,14781,May,Wednesday,740
Jet Airways,Kolkata,Banglore,20,8,1.0,No Info,14939,June,Sunday,735
Jet Airways,Delhi,Cochin,20,4,1.0,In-flight meal not included,10262,June,Monday,450
Air India,Kolkata,Banglore,14,14,1.0,No Info,6528,May,Sunday,720
Air India,Banglore,Delhi,6,8,0.0,No Info,6121,May,Wednesday,165
